Name,Designation,Image URL,Profile URL
Dr. Hafiz Ashiq Hussa..,Chair Department,https://au.edu.pk/../Faculty_Images/1513.jpg,https://au.edu.pktyDetail.aspx?fid=1513
Dr. Fiaz Ahmed,Associate Professor,https://au.edu.pk/../Faculty_Images/1421.jpg,https://au.edu.pktyDetail.aspx?fid=1421
Dr. Hashim Bukhari,Associate Professor,https://au.edu.pk/../Faculty_Images/1424s.jpg,https://au.edu.pktyDetail.aspx?fid=1424
Dr. Syed Ahmed PashaAssociate Professor,Associate Professor,https://au.edu.pk/../Faculty_Images/5.jpg,https://au.edu.pktyDetail.aspx?fid=5
Dr. Muhammad Imran Fari..,Assistant Professor,https://au.edu.pk/../Faculty_Images/7.jpg,https://au.edu.pktyDetail.aspx?fid=7
Dr. Sarah Saeed,Assistant Professor,https://au.edu.pk/../Faculty_Images/9.jpg,https://au.edu.pktyDetail.aspx?fid=9
Dr. Ayesha Salman,Assistant Professor,https://au.edu.pk/../Faculty_Images/10.jpg,https://au.edu.pktyDetail.aspx?fid=10
Dr. Mumajjed Ul Mudassi..,Assistant Professor,https://au.edu.pk/../Faculty_Images/16.jpg,https://au.edu.pktyDetail.aspx?fid=16
Dr. Waseem Khan,Assistant Professor,https://au.edu.pk/../Faculty_Images/229.jpg,https://au.edu.pktyDetail.aspx?fid=229
Dr. Saleem Shahid,Assistant Professor,https://au.edu.pk/../Faculty_Images/230.jpg,https://au.edu.pktyDetail.aspx?fid=230
Dr. Muhammad Atif Khan..,Assistant Professor,https://au.edu.pk/../Faculty_Images/267.jpg,https://au.edu.pktyDetail.aspx?fid=267
Dr. Saad Ullah Khan,Assistant Professor,https://au.edu.pk/../Faculty_Images/358.jpg,https://au.edu.pktyDetail.aspx?fid=358
Dr. MUHAMMAD Adil Kha..,Assistant Professor,https://au.edu.pk/../Faculty_Images/1425.jpg,https://au.edu.pktyDetail.aspx?fid=1425
Engr. Dr. Muntazir Hu..,Assistant Professor,https://au.edu.pk/../Faculty_Images/1426.jpg,https://au.edu.pktyDetail.aspx?fid=1426
Dr. Ahsan Sarwar Rana,Assistant Professor,https://au.edu.pk/../Faculty_Images/1422.jpg,https://au.edu.pktyDetail.aspx?fid=1422
Dr. Ashfaq Ahmad,Assistant Professor,https://au.edu.pk/../Faculty_Images/1423.jpg,https://au.edu.pktyDetail.aspx?fid=1423
Dr. Najam Dar,Assistant Professor,https://au.edu.pk/../Faculty_Images/1568.jpg,https://au.edu.pktyDetail.aspx?fid=1568
Dr. Jehanzeb,Assistant Professor,https://au.edu.pk/../Faculty_Images/1569.jpg,https://au.edu.pktyDetail.aspx?fid=1569
Dr. Sher Ali,Assistant Professor,https://au.edu.pk/../Faculty_Images/1518.jpg,https://au.edu.pktyDetail.aspx?fid=1518
Engr. Seema Tahir,Assistant Professor,https://au.edu.pk/../Faculty_Images/18.jpg,https://au.edu.pktyDetail.aspx?fid=18
Engr. Tahir Mahmood Kha..,Assistant Professor,https://au.edu.pk/../Faculty_Images/11.jpg,https://au.edu.pktyDetail.aspx?fid=11
Engr. Akram Rashid,Assistant Professor,https://au.edu.pk/../Faculty_Images/14.jpg,https://au.edu.pktyDetail.aspx?fid=14
Engr. Bahman Ramazan A..,Assistant Professor,https://au.edu.pk/../Faculty_Images/15.jpg,https://au.edu.pktyDetail.aspx?fid=15
Engr. Madeeha Uzma,Lecturer,https://au.edu.pk/../Faculty_Images/23.jpg,https://au.edu.pktyDetail.aspx?fid=23
Engr. Muhammad Ali Raza..,Lecturer,https://au.edu.pk/../Faculty_Images/24.jpg,https://au.edu.pktyDetail.aspx?fid=24
Engr. Sami Ullah,Lecturer,https://au.edu.pk/../Faculty_Images/25.jpg,https://au.edu.pktyDetail.aspx?fid=25
Engr. Muhammad Tilal..,Lecturer,https://au.edu.pk/../Faculty_Images/231.jpg,https://au.edu.pktyDetail.aspx?fid=231
Engr. Muhammad Faizan M..,Lecturer,https://au.edu.pk/../Faculty_Images/232.jpg,https://au.edu.pktyDetail.aspx?fid=232
Engr. Saba Mumtaz,Lecturer,https://au.edu.pk/../Faculty_Images/233.jpg,https://au.edu.pktyDetail.aspx?fid=233
Engr Ambreen Javed,Lecturer,https://au.edu.pk/../Faculty_Images/234.jpg,https://au.edu.pktyDetail.aspx?fid=234
Engr. HAFSA TANVEER,Lecturer,https://au.edu.pk/../Faculty_Images/1440.jpg,https://au.edu.pktyDetail.aspx?fid=1440
Engr. USMAN HAMEED,Lecturer,https://au.edu.pk/../Faculty_Images/1442.jpg,https://au.edu.pktyDetail.aspx?fid=1442
Ms. Zoafshan,Lecturer,https://au.edu.pk/../Faculty_Images/0.jpg,https://au.edu.pktyDetail.aspx?fid=1515
Mr. Muneeb Abrar,Lecturer,https://au.edu.pk/../Faculty_Images/1516.jpg,https://au.edu.pktyDetail.aspx?fid=1516
Engr. AMINA ASIF,Lecturer,https://au.edu.pk/../Faculty_Images/1427.jpg,https://au.edu.pktyDetail.aspx?fid=1427
Engr. ATIQUE UR REHMA..,Lecturer,https://au.edu.pk/../Faculty_Images/1428.jpg,https://au.edu.pktyDetail.aspx?fid=1428
Engr. Mashood Ahmed,Lecturer,https://au.edu.pk/../Faculty_Images/1429.jpg,https://au.edu.pktyDetail.aspx?fid=1429
Dr. Muhammad Zaheer,Lecturer,https://au.edu.pk/../Faculty_Images/208.jpg,https://au.edu.pktyDetail.aspx?fid=208
Mr. Farooq Khan,Lab Engineer,https://au.edu.pk/../Faculty_Images/1521.jpg,https://au.edu.pktyDetail.aspx?fid=1521
Engr. Muhammad Hanzala..,Lab Engineer,https://au.edu.pk/../Faculty_Images/1576.jpg,https://au.edu.pktyDetail.aspx?fid=1576
Mr. Sharoze Sohail,Lab Engineer,https://au.edu.pk/../Faculty_Images/1577.jpg,https://au.edu.pktyDetail.aspx?fid=1577
Engr. Hafiz Muhammad ..,Lab Engineer,https://au.edu.pk/../Faculty_Images/1579.jpg,https://au.edu.pktyDetail.aspx?fid=1579
Engr. Ayesha Sadiq,Lab Engineer,https://au.edu.pk/../Faculty_Images/1580.jpg,https://au.edu.pktyDetail.aspx?fid=1580
Engr. SYEDA HIBA HARE..,Lab Engineer,https://au.edu.pk/../Faculty_Images/1432.jpg,https://au.edu.pktyDetail.aspx?fid=1432
Engr. Touseef Ur Rehm..,Lab Engineer,https://au.edu.pk/../Faculty_Images/1436.jpg,https://au.edu.pktyDetail.aspx?fid=1436
Ms. Arooj Kiyani,Lab Engineer,https://au.edu.pk/../Faculty_Images/0.jpg,https://au.edu.pktyDetail.aspx?fid=1517
Engr. MARIAM SABIR,Lab Engineer,https://au.edu.pk/../Faculty_Images/0.jpg,https://au.edu.pktyDetail.aspx?fid=1446
Engr. Rabbaya Akhtar,Lab Engineer,https://au.edu.pk/../Faculty_Images/244.jpg,https://au.edu.pktyDetail.aspx?fid=244
Dr. Zohaib Hassan,Lab Engineer,https://au.edu.pk/../Faculty_Images/32s1.jpg,https://au.edu.pktyDetail.aspx?fid=32
Mr. Ahmad Ali,Visiting Lab Engineer,https://au.edu.pk/../Faculty_Images/0.jpg,https://au.edu.pktyDetail.aspx?fid=1581
Mr. Hammad Aziz,Visiting Lab Engineer,https://au.edu.pk/../Faculty_Images/0.jpg,https://au.edu.pktyDetail.aspx?fid=1582
Mr. Muhammad Favad Qa..,Research Associate,https://au.edu.pk/../Faculty_Images/264.jpg,https://au.edu.pktyDetail.aspx?fid=264
Engr. Muhammad Awais ..,Research Assistant,https://au.edu.pk/../Faculty_Images/236.jpg,https://au.edu.pktyDetail.aspx?fid=236
Mr. Hussain Asif,Research Assistant,https://au.edu.pk/../Faculty_Images/207.jpg,https://au.edu.pktyDetail.aspx?fid=207
